trade_date,trade_count,total_pnl,avg_pnl,median_pnl,win_rate,sentiment,sentiment_score,sent_lag_1,sent_lag_3,sent_lag_7,pnl_7d_ma,sent_7d_ma,pnl_7d_std,signal,strategy_pnl,cum_strategy,cum_buyhold
2023-01-05,3,0.0,0.0,0.0,0.0,Fear,0.0,,,,0.0,0.0,,0,0.0,0.0,0.0
2023-05-12,9,0.0,0.0,0.0,0.0,Neutral,0.5,0.0,,,0.0,0.25,0.0,0,0.0,0.0,0.0
2024-01-01,18,-129.53146,-7.196192222222223,0.0,0.0555555555555555,Greed,1.0,0.5,,,-43.17715333333334,0.5,74.78502329952525,0,-0.0,0.0,-129.53146
2024-01-02,6,0.0,0.0,0.0,0.0,Greed,1.0,1.0,0.0,,-32.382865,0.625,64.76573,1,0.0,0.0,-129.53146
2024-01-03,137,8244.241409,60.17694459124088,27.04384,0.9343065693430656,Greed,1.0,1.0,0.5,,1622.9419898,0.7,3701.8438411729403,1,8244.241409,8244.241409,8114.709949
2024-01-04,77,2507.963406,32.57095332467532,0.54675,0.5454545454545454,Greed,1.0,1.0,1.0,,1770.4455591666665,0.75,3330.6849261675093,1,2507.963406,10752.204815000001,10622.673354999999
2024-01-05,14,0.0,0.0,0.0,0.0,Greed,1.0,1.0,1.0,,1517.524765,0.7857142857142857,3113.2513917156616,1,0.0,10752.204815000001,10622.673354999999
2024-01-06,25,91.510419,3.66041676,0.0,0.36,Greed,1.0,1.0,1.0,0.0,1530.5976819999998,0.9285714285714286,3106.0007663289007,1,91.510419,10843.715234000001,10714.183774
2024-01-07,64,5065.839308,79.1537391875,0.0,0.40625,Greed,1.0,1.0,1.0,0.5,2254.2890117142856,1.0,3275.4782009081828,1,5065.839308,15909.554542000002,15780.023082
2024-01-08,57,167.080017,2.9312283684210527,0.0,0.0701754385964912,Greed,1.0,1.0,1.0,1.0,2296.662079857143,1.0,3241.2399292984946,1,167.080017,16076.634559000002,15947.103099
2024-01-09,12,137.433093,11.452757750000002,0.0,0.4166666666666667,Extreme Greed,,1.0,1.0,1.0,2316.2953788571426,1.0,3225.387121966821,1,137.433093,16214.067652000002,16084.536192
2024-01-10,4,0.0,0.0,0.0,0.0,Greed,1.0,,1.0,1.0,1138.5466061428572,1.0,1955.0689443817116,0,0.0,16214.067652000002,16084.536192
2024-01-11,23,1040.475736,45.23807547826088,0.0,0.2608695652173913,Extreme Greed,,1.0,1.0,1.0,928.9055104285715,1.0,1860.127113240227,1,1040.475736,17254.543388000002,17125.011928
2024-01-12,416,40886.364494,98.28453003365384,0.5600160000000001,0.53125,Greed,1.0,,,1.0,6769.814723857143,1.0,15153.011566266036,0,0.0,17254.543388000002,58011.376422
2024-02-01,17,783.979116,46.11641858823529,0.0,0.4705882352941176,Greed,1.0,1.0,1.0,1.0,6868.738823428573,1.0,15104.329042022127,1,783.979116,18038.522504,58795.355538
2024-02-02,42,456.423473,10.867225547619048,0.0,0.3095238095238095,Greed,1.0,1.0,,1.0,6210.250847,1.0,15295.29683401045,1,456.423473,18494.945977,59251.779011000006
2024-02-03,31,230.90060000000005,7.448406451612905,1.3124,0.6774193548387096,Greed,1.0,1.0,1.0,1.0,6219.368073142857,1.0,15291.112698078303,1,230.90060000000005,18725.846577,59482.67961100001
2024-02-04,41,883.760812,21.55514175609756,0.0,0.2926829268292683,Greed,1.0,1.0,1.0,,6325.9863187142855,1.0,15244.168091778809,1,883.760812,19609.607389,60366.44042300001
2024-02-06,93,192.906947,2.074268247311828,0.0,0.3655913978494624,Greed,1.0,1.0,1.0,1.0,6353.544454000001,1.0,15230.994760585441,1,192.906947,19802.514336,60559.34737000001
2024-02-07,18,2421.253116,134.514062,10.35,0.7222222222222222,Greed,1.0,1.0,1.0,,6550.798365428572,1.0,15159.491309669054,1,2421.253116,22223.767452,62980.60048600001
2024-02-08,63,782.3681909999999,12.418542714285714,0.0,0.2698412698412698,Greed,1.0,1.0,1.0,1.0,821.6560364285714,1.0,757.5446228626885,1,782.3681909999999,23006.135643,63762.96867700001
2024-02-09,2,0.0,0.0,0.0,0.0,Greed,1.0,1.0,1.0,1.0,709.6590198571428,1.0,819.4651613084048,1,0.0,23006.135643,63762.96867700001
2024-02-10,4,0.0,0.0,0.0,0.0,Greed,1.0,1.0,1.0,1.0,644.4556665714284,1.0,860.122689398041,1,0.0,23006.135643,63762.96867700001
2024-02-11,2,0.0,0.0,0.0,0.0,Greed,1.0,1.0,1.0,1.0,611.4698665714285,1.0,882.7556397423505,1,0.0,23006.135643,63762.96867700001
2024-02-12,270,18489.604313,68.48001597407408,0.0,0.4074074074074074,Greed,1.0,1.0,1.0,1.0,3126.5903667142857,1.0,6830.669514902657,1,18489.604313,41495.739956000005,82252.57299000002
2024-03-01,67,866.015507,12.925604582089552,0.0,0.417910447761194,Extreme Greed,,1.0,1.0,1.0,3222.7487324285717,1.0,6787.086407302116,1,866.015507,42361.755463,83118.58849700002
2024-03-02,56,223.309187,3.987664053571428,0.0,0.1071428571428571,Extreme Greed,,,1.0,1.0,2908.7567425714287,1.0,6880.544515477151,0,0.0,42361.755463,83341.89768400003
2024-03-03,79,8361.086245,105.83653474683544,15.04116,0.6835443037974683,Extreme Greed,,,1.0,1.0,3991.4307502857146,1.0,7083.460132104866,0,0.0,42361.755463,91702.98392900002
2024-03-04,4,126.7884,31.6971,0.0,0.25,Extreme Greed,,,,1.0,4009.543378857143,1.0,7071.705231045923,0,0.0,42361.755463,91829.77232900003
2024-03-05,36,5306.017045,147.3893623611111,0.0,0.4722222222222222,Extreme Greed,,,,1.0,4767.545813857143,1.0,6851.234940610061,0,0.0,42361.755463,97135.78937400003
2024-03-06,70,562.808208,8.040117257142859,4.63499,0.6285714285714286,Extreme Greed,,,,1.0,4847.946986428571,1.0,6788.9812205225035,0,0.0,42361.755463,97698.59758200003
2024-03-07,18,1118.387284,62.132626888888886,0.0,0.2222222222222222,Extreme Greed,,,,1.0,2366.344553714286,,3194.9945903879147,0,0.0,42361.755463,98816.98486600003
2024-03-08,37,464.1897,12.545667567567568,0.0,0.027027027027027,Extreme Greed,,,,,2308.9408670000003,,3229.862797705286,0,0.0,42361.755463,99281.17456600003
2024-03-10,9,100.375782,11.152864666666666,0.0,0.3333333333333333,Extreme Greed,,,,,2291.378952,,3243.399025612274,0,0.0,42361.755463,99381.55034800003
2024-03-11,6,0.0,0.0,0.0,0.0,Extreme Greed,,,,,1096.938059857143,,1894.732654899979,0,0.0,42361.755463,99381.55034800003
2024-03-12,374,23576.539285,63.03887509358289,0.0,0.4304812834224599,Extreme Greed,,,,,4446.902472,,8634.963047033687,0,0.0,42361.755463,122958.08963300003
2024-04-01,5,-67.60364,-13.520728,-0.0786,0.0,Extreme Greed,,,,,3679.2423741428565,,8783.44175467561,0,-0.0,42361.755463,122890.48599300002
2024-04-02,35,47.62389499999999,1.360682714285714,-0.02695,0.2571428571428571,Extreme Greed,,,,,3605.6446151428568,,8816.005036314298,0,0.0,42361.755463,122938.10988800002
2024-04-03,300,27799.775742,92.66591914,30.85353,0.8866666666666667,Greed,1.0,,,,7417.271537714286,1.0,12541.940985988102,0,0.0,42361.755463,150737.88563000003
2024-04-04,32,0.0,0.0,0.0,0.0,Greed,1.0,1.0,,,7350.958723428571,1.0,12585.980894583423,1,0.0,42361.755463,150737.88563000003
2024-04-05,9,0.0,0.0,0.0,0.0,Extreme Greed,,1.0,,,7336.619326,1.0,12595.671824795605,1,0.0,42361.755463,150737.88563000003
2024-04-06,53,52.211438,0.9851214716981131,0.0,0.4716981132075472,Extreme Greed,,,1.0,,7344.078102857143,1.0,12590.617657726683,0,0.0,42361.755463,150790.09706800003
2024-04-07,25,0.0,0.0,0.0,0.0,Extreme Greed,,,1.0,,3976.0010621428564,1.0,10505.371677576331,0,0.0,42361.755463,150790.09706800003
2024-04-08,127,-122672.000883,-965.9212667952756,0.0,0.0236220472440944,Extreme Greed,,,,,-13538.912829714287,1.0,49224.21017097796,0,-0.0,42361.755463,28118.09618500003
2024-04-09,34,1065.785132,31.346621529411763,0.0,0.1470588235294117,Extreme Greed,,,,,-13393.46122442857,1.0,49272.52840230242,0,0.0,42361.755463,29183.881317000032
2024-04-10,1,0.0,0.0,0.0,0.0,Extreme Greed,,,,1.0,-17364.857759000002,1.0,46437.754808073434,0,0.0,42361.755463,29183.881317000032
2024-04-11,36,2799.410474,77.76140205555555,29.134382,0.6388888888888888,Extreme Greed,,,,1.0,-16964.941977000002,,46623.90361470839,0,0.0,42361.755463,31983.291791000032
2024-04-12,319,292891.815021,918.1561599404388,0.0,0.463949843260188,Extreme Greed,,,,,24876.745883142856,,126827.33868648416,0,0.0,42361.755463,324875.10681200004
2024-05-01,66,164.141565,2.486993409090909,0.0,0.1969696969696969,Neutral,0.5,,,,24892.735901285712,0.5,126823.69425162581,0,0.0,42361.755463,325039.24837700004
2024-05-02,72,-33.45419400000003,-0.4646415833333337,0.0,0.1944444444444444,Fear,0.0,0.5,,,24887.956730714282,0.25,126824.7892658155,0,-0.0,42361.755463,325005.79418300005
2024-05-03,180,19791.026041,109.95014467222222,34.3644515,0.9055555555555556,Neutral,0.5,0.0,,,45239.817719857136,0.3333333333333333,109437.8156194618,0,0.0,42361.755463,344796.820224
2024-05-04,100,10706.484306,107.06484306,8.978760000000001,0.9,Greed,1.0,0.5,0.5,,46617.06045899999,0.5,108848.3205382746,0,0.0,42361.755463,355503.30453
2024-05-05,6,0.916,0.1526666666666666,0.0,0.1666666666666666,Greed,1.0,1.0,0.0,,46617.19131614285,0.6,108848.25515542441,1,0.916,42362.671463,355504.22053000005
2024-05-06,54,56.055506,1.038064925925926,0.0,0.2962962962962963,Greed,1.0,1.0,0.5,,46225.28346357143,0.6666666666666666,109037.09018030547,1,56.055506,42418.726968999996,355560.27603600005
2024-05-07,32,0.0,0.0,0.0,0.0,Greed,1.0,1.0,1.0,,4383.595603428572,0.7142857142857143,7872.24395947183,1,0.0,42418.726968999996,355560.27603600005
2024-05-08,80,-13013.665169,-162.6708146125,0.0,0.4125,Greed,1.0,1.0,1.0,0.5,2501.0517842857143,0.7857142857142857,10262.280782304717,1,-13013.665169,29405.061799999996,342546.61086700007
